Country,ISO 3,GCAM Region
BURUNDI,BDI,Africa_Eastern
COMOROS,COM,Africa_Eastern
DJIBOUTI,DJI,Africa_Eastern
ERITREA,ERI,Africa_Eastern
ETHIOPIA,ETH,Africa_Eastern
KENYA,KEN,Africa_Eastern
MADAGASCAR,MDG,Africa_Eastern
MAURITIUS,MUS,Africa_Eastern
REUNION,REU,Africa_Eastern
RWANDA,RWA,Africa_Eastern
SUDAN,SDN,Africa_Eastern
SOUTH SUDAN,SSD,Africa_Eastern
SOMALIA,SOM,Africa_Eastern
UGANDA,UGA,Africa_Eastern
EGYPT,EGY,Africa_Northern
ALGERIA,DZA,Africa_Northern
WESTERN SAHARA,ESH,Africa_Northern
LIBYAN ARAB JAMAHIRIYA,LBY,Africa_Northern
MOROCCO,MAR,Africa_Northern
TUNISIA,TUN,Africa_Northern
TANZANIA;UNITED REPUBLIC OF,TZA,Africa_Southern
LESOTHO,LSO,Africa_Southern
SWAZILAND,SWZ,Africa_Southern
ANGOLA,AGO,Africa_Southern
BOTSWANA,BWA,Africa_Southern
MOZAMBIQUE,MOZ,Africa_Southern
MALAWI,MWI,Africa_Southern
NAMIBIA,NAM,Africa_Southern
ZAMBIA,ZMB,Africa_Southern
ZIMBABWE,ZWE,Africa_Southern
CENTRAL AFRICAN REPUBLIC,CAF,Africa_Western
CONGO;  Democratic Republic of (was Zaire),COD,Africa_Western
CHAD,TCD,Africa_Western
BENIN,BEN,Africa_Western
BURKINA FASO,BFA,Africa_Western
COTE D'IVOIRE,CIV,Africa_Western
CAMEROON,CMR,Africa_Western
CONGO;  Republic of,COG,Africa_Western
CAPE VERDE,CPV,Africa_Western
GABON,GAB,Africa_Western
GHANA,GHA,Africa_Western
GUINEA,GIN,Africa_Western
GAMBIA,GMB,Africa_Western
GUINEA-BISSAU,GNB,Africa_Western
EQUATORIAL GUINEA,GNQ,Africa_Western
LIBERIA,LBR,Africa_Western
MALI,MLI,Africa_Western
MAURITANIA,MRT,Africa_Western
NIGER,NER,Africa_Western
NIGERIA,NGA,Africa_Western
SENEGAL,SEN,Africa_Western
SIERRA LEONE,SLE,Africa_Western
SAO TOME AND PRINCIPE,STP,Africa_Western
TOGO,TGO,Africa_Western
ARGENTINA,ARG,Argentina
AUSTRALIA,AUS,Australia_NZ
NEW ZEALAND,NZL,Australia_NZ
BRAZIL,BRA,Brazil
CANADA,CAN,Canada
ARUBA,ABW,Central America and Caribbean
ANGUILLA,AIA,Central America and Caribbean
NETHERLANDS ANTILLES,ANT,Central America and Caribbean
ANTIGUA AND BARBUDA,ATG,Central America and Caribbean
BAHAMAS,BHS,Central America and Caribbean
BELIZE,BLZ,Central America and Caribbean
BARBADOS,BRB,Central America and Caribbean
COSTA RICA,CRI,Central America and Caribbean
CUBA,CUB,Central America and Caribbean
CAYMAN ISLANDS,CYM,Central America and Caribbean
DOMINICA,DMA,Central America and Caribbean
DOMINICAN REPUBLIC,DOM,Central America and Caribbean
GUADELOUPE,GLP,Central America and Caribbean
GRENADA,GRD,Central America and Caribbean
GUATEMALA,GTM,Central America and Caribbean
HONDURAS,HND,Central America and Caribbean
HAITI,HTI,Central America and Caribbean
JAMAICA,JAM,Central America and Caribbean
SAINT KITTS AND NEVIS,KNA,Central America and Caribbean
SAINT LUCIA,LCA,Central America and Caribbean
MONTSERRAT,MSR,Central America and Caribbean
MARTINIQUE,MTQ,Central America and Caribbean
NICARAGUA,NIC,Central America and Caribbean
PANAMA,PAN,Central America and Caribbean
EL SALVADOR,SLV,Central America and Caribbean
TRINIDAD AND TOBAGO,TTO,Central America and Caribbean
SAINT VINCENT AND THE GRENADINES,VCT,Central America and Caribbean
BERMUDA,BMU,Central America and Caribbean
KAZAKHSTAN,KAZ,Central Asia
MONGOLIA,MNG,Central Asia
KYRGYZSTAN,KGZ,Central Asia
TAJIKISTAN,TJK,Central Asia
TURKMENISTAN,TKM,Central Asia
UZBEKISTAN,UZB,Central Asia
ARMENIA,ARM,Central Asia
AZERBAIJAN,AZE,Central Asia
GEORGIA,GEO,Central Asia
CHINA,CHN,China
HONG KONG,HKG,China
MACAU,MAC,China
COLOMBIA,COL,Colombia
SLOVENIA,SVN,EU-12
BULGARIA,BGR,EU-12
CYPRUS,CYP,EU-12
HUNGARY,HUN,EU-12
MALTA,MLT,EU-12
ESTONIA,EST,EU-12
LITHUANIA,LTU,EU-12
LATVIA,LVA,EU-12
POLAND,POL,EU-12
CZECH REPUBLIC,CZE,EU-12
SLOVAKIA,SVK,EU-12
ROMANIA,ROU,EU-12
FALKLAND ISLANDS (MALVINAS),FLK,EU-15
AUSTRIA,AUT,EU-15
BELGIUM,BEL,EU-15
LUXEMBOURG,LUX,EU-15
NETHERLANDS,NLD,EU-15
GREENLAND,GRL,EU-15
SPAIN,ESP,EU-15
GIBRALTAR,GIB,EU-15
PORTUGAL,PRT,EU-15
FINLAND,FIN,EU-15
ANDORRA,AND,EU-15
FRANCE,FRA,EU-15
UNITED KINGDOM,GBR,EU-15
IRELAND,IRL,EU-15
GREECE,GRC,EU-15
ITALY,ITA,EU-15
MONACO,MCO,EU-15
SAN MARINO,SMR,EU-15
VATICAN CITY STATE (HOLY SEE),VAT,EU-15
WALLIS AND FUTUNA ISLANDS,WLF,EU-15
TURKS AND CAICOS ISLANDS,TCA,EU-15
VIRGIN ISLANDS (BRITISH),VGB,EU-15
GERMANY,DEU,EU-15
DENMARK,DNK,EU-15
FAROE ISLANDS,FRO,EU-15
SWEDEN,SWE,EU-15
SAINT PIERRE AND MIQUELON,SPM,EU-15
SAINT HELENA,SHN,EU-15
BELARUS,BLR,Europe_Eastern
MOLDOVA; REPUBLIC OF,MDA,Europe_Eastern
UKRAINE,UKR,Europe_Eastern
ALBANIA,ALB,Europe_Non_EU
BOSNIA AND HERZEGOWINA,BIH,Europe_Non_EU
CROATIA (local name: Hrvatska),HRV,Europe_Non_EU
MACEDONIA; THE FORMER YUGOSLAV REPUBLIC OF,MKD,Europe_Non_EU
SERBIA AND MONTENEGRO,SCG,Europe_Non_EU
TURKEY,TUR,Europe_Non_EU
LIECHTENSTEIN,LIE,European Free Trade Association
SWITZERLAND,CHE,European Free Trade Association
ICELAND,ISL,European Free Trade Association
NORWAY,NOR,European Free Trade Association
SVALBARD AND JAN MAYEN ISLANDS,SJM,European Free Trade Association
INDIA,IND,India
INDONESIA,IDN,Indonesia
JAPAN,JPN,Japan
MEXICO,MEX,Mexico
UNITED ARAB EMIRATES,ARE,Middle East
BAHRAIN,BHR,Middle East
IRAN (ISLAMIC REPUBLIC OF),IRN,Middle East
IRAQ,IRQ,Middle East
KUWAIT,KWT,Middle East
OMAN,OMN,Middle East
QATAR,QAT,Middle East
SAUDI ARABIA,SAU,Middle East
YEMEN,YEM,Middle East
ISRAEL,ISR,Middle East
JORDAN,JOR,Middle East
LEBANON,LBN,Middle East
PALESTINIAN TERRITORY; Occupied,PSE,Middle East
SYRIAN ARAB REPUBLIC,SYR,Middle East
PAKISTAN,PAK,Pakistan
RUSSIAN FEDERATION,RUS,Russia
SOUTH AFRICA,ZAF,South Africa
FRENCH GUIANA,GUF,South America_Northern
GUYANA,GUY,South America_Northern
SURINAME,SUR,South America_Northern
VENEZUELA,VEN,South America_Northern
URUGUAY,URY,South America_Southern
CHILE,CHL,South America_Southern
BOLIVIA,BOL,South America_Southern
ECUADOR,ECU,South America_Southern
PERU,PER,South America_Southern
PARAGUAY,PRY,South America_Southern
SRI LANKA,LKA,South Asia
MALDIVES,MDV,South Asia
AFGHANISTAN,AFG,South Asia
BANGLADESH,BGD,South Asia
BHUTAN,BTN,South Asia
NEPAL,NPL,South Asia
KOREA; REPUBLIC OF,KOR,South Korea
SEYCHELLES,SYC,Southeast Asia
TIMOR-LESTE,TLS,Southeast Asia
KOREA; DEMOCRATIC PEOPLE'S REPUBLIC OF,PRK,Southeast Asia
BRUNEI DARUSSALAM,BRN,Southeast Asia
MALAYSIA,MYS,Southeast Asia
SINGAPORE,SGP,Southeast Asia
AMERICAN SAMOA,ASM,Southeast Asia
COOK ISLANDS,COK,Southeast Asia
FIJI,FJI,Southeast Asia
MICRONESIA; FEDERATED STATES OF,FSM,Southeast Asia
GUAM,GUM,Southeast Asia
KIRIBATI,KIR,Southeast Asia
MARSHALL ISLANDS,MHL,Southeast Asia
NORTHERN MARIANA ISLANDS,MNP,Southeast Asia
NEW CALEDONIA,NCL,Southeast Asia
NORFOLK ISLAND,NFK,Southeast Asia
NIUE,NIU,Southeast Asia
NAURU,NRU,Southeast Asia
PITCAIRN,PCN,Southeast Asia
PALAU,PLW,Southeast Asia
PAPUA NEW GUINEA,PNG,Southeast Asia
FRENCH POLYNESIA,PYF,Southeast Asia
SOLOMON ISLANDS,SLB,Southeast Asia
TOKELAU,TKL,Southeast Asia
TONGA,TON,Southeast Asia
TUVALU,TUV,Southeast Asia
VANUATU,VUT,Southeast Asia
SAMOA,WSM,Southeast Asia
PHILIPPINES,PHL,Southeast Asia
CAMBODIA,KHM,Southeast Asia
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,Southeast Asia
MYANMAR,MMR,Southeast Asia
MAYOTTE,MYT,Southeast Asia
THAILAND,THA,Southeast Asia
VIET NAM,VNM,Southeast Asia
TAIWAN,TWN,Taiwan
PUERTO RICO,PRI,USA
VIRGIN ISLANDS (U.S.),VIR,USA
UNITED STATES,USA,USA
KOSOVO,KOS,Europe_Non_EU
SERBIA,SRB,Europe_Non_EU
MONTENEGRO,MNE,Europe_Non_EU
PALESTINA,PSX,Middle East
