COUNTRY,AREA_M2,POP,SO4,NO3,NH4,BC,POM,O3,DUST,SS,M6M,M3M
AUT,1.05E+11,10039536,1.919,1.853,1.214,0.898,2.79,30.702,0.438542,0.603514,57.7,61
CHE,41190000000,7165581,1.359,2.687,1.289,0.649,2.496,32.403,0.491922,0.787839,58.5,60.1
BLX,84600000000,26598503,1.442,4.116,1.718,1.532,1.865,25.22,0.150674,1.20865,48.7,52.2
ESP,8.16E+11,51028342,2.275,1.009,1.075,0.684,1.616,36.391,1.18412,1.55322,58.7,62.1
FIN,3.84E+11,5176482,0.584,0.496,0.348,0.24,1.424,26.696,0.14312,1.07378,41.8,44.8
FRA,6.28E+11,59387183,1.42,2.831,1.35,1.077,2.227,30.756,0.319183,1.38337,53.9,56.9
GBR,5.28E+11,62708578,1.206,2.436,1.151,0.93,1.161,26.771,0.0732509,1.29555,44.9,46.3
GRC,3.81E+11,11897319,4.063,0.931,1.736,0.368,1.472,41.293,1.76659,1.38049,64.4,70.8
ITA,5.04E+11,57534261,2.813,4.101,2.216,1.06,2.12,36.59,1.05796,1.48993,70.1,76.2
RFA,3.82E+11,81895925,1.581,3.805,1.698,1.095,1.941,25.89,0.263098,1.19066,52,55.2
SWE,6.26E+11,14210567,0.81,1.4,0.705,0.361,1.223,31.329,0.0581962,1.10879,45.3,47.9
TUR,8.82E+11,63240157,3.008,1.102,1.394,0.278,1.566,40.367,2.19533,0.808642,62.8,66.9
NOR,7.42E+11,4772786,0.614,0.359,0.317,0.23,0.914,31.541,0.0310544,1.57658,44.2,46.1
BGR,1.20E+11,8000510,4.907,2.022,2.346,0.628,3.298,32.011,1.1227,0.6971,58.4,63.7
HUN,92810000000,10224113,3.204,2.237,1.822,0.987,3.521,27.704,0.385199,0.536626,55.9,61.3
POL,5.43E+11,45743304,2.042,1.581,1.189,0.896,2.833,29.012,0.240966,0.863504,50.9,55
RCEU,3.15E+11,23431826,3.941,1.507,1.852,0.55,2.745,34.044,1.0682,0.719516,60.7,64.9
RCZ,1.28E+11,15649075,2.649,2.691,1.744,1.211,3.726,27.18,0.3078,0.615182,53.8,58.5
ROM,2.44E+11,22128139,3.513,2.187,1.94,0.933,4.735,30.088,0.810278,0.529689,55.7,59.8
MEME,3.33E+11,33594398,5.262,0.305,1.492,0.467,2.426,39.881,5.05664,1.19212,66.9,70.1
NOA,5.00E+12,75476282,2.913,0.095,0.987,0.527,1.558,39.788,9.06684,1.14057,60,63.5
EGY,1.06E+12,68334905,4.934,0.016,1.338,0.975,2.386,40.59,8.10663,1.26848,66.3,69.4
GOLF,5.28E+12,137091614,3.379,0.524,1.196,0.35,1.612,40.526,27.4904,0.831211,63.7,66.9
WAF,7.50E+12,256166645,1.605,0,0.546,0.493,5.009,34.777,15.2016,0.574439,56.3,66.1
EAF,1.15E+13,294876942,1.223,0.007,0.421,0.67,6.103,32.059,3.90024,0.971421,47.9,55.3
SAF,4.93E+12,71386466,0.794,0.006,0.269,0.383,3.946,31.282,0.0688917,1.04781,51.5,60.9
RSA,1.36E+12,47816796,2.374,0.05,0.654,0.501,3.023,32.937,0.408374,1.84921,47.5,52.4
KAZ,2.76E+12,14956769,1.136,0.663,0.588,0.24,1.787,32.785,8.32588,0.225919,49,52.2
RIS,1.29E+12,40160643,1.407,0.557,0.629,0.352,2.474,39.689,18.782,0.256769,59.3,62.3
RUS,4.44E+12,124513539,1.463,1.046,0.81,0.496,2.886,29.431,2.03129,0.494238,48.2,51.2
RUE,1.39E+13,37824843.01,0.83,0.761,0.517,0.307,3.449,27.118,0.686897,0.167017,39.8,41.8
UKR,8.85E+11,62899412,2.128,1.469,1.212,0.488,2.58,31.304,0.772209,0.632851,52.1,56.8
COR,1.74E+11,46206271,3.939,2.311,2.013,3.753,6.652,28.866,2.68873,1.25466,55.8,60.9
JPN,8.02E+11,125714674,3.594,0.93,1.374,2.043,2.653,38.138,1.2733,1.73274,55,59
AUS,8.57E+12,19107251,0.957,0.012,0.266,0.262,1.438,25.155,0.0998466,2.90537,33.9,36.7
NZL,4.52E+11,3858234,0.486,0.003,0.166,0.049,0.271,24.888,0.00272446,8.41792,32.1,34.8
PAC,2.56E+12,7849608,0.981,0,0.204,0.023,0.998,20.274,0.01429,3.26888,29,30.7
MON,1.73E+12,25237656,3.071,1.003,1.267,1.689,4.014,36.082,3.33012,0.661636,52.8,60.7
CHN,9.61E+12,1277189981,5.028,1.621,2.207,2.62,7.766,37.852,8.37051,0.418833,53.9,59.2
TWN,90860000000,21935444,3.217,0.023,0.938,0.982,2.012,44.18,1.20806,1.95584,57.4,61.5
RSAS,1.81E+12,313537498,3.011,0.318,1.158,0.921,5.783,39.588,4.74805,0.587286,58,63.1
NDE,3.79E+12,1072545201,3.527,0.441,1.425,0.988,5.659,40.606,4.08291,0.817118,59.5,65.6
IDN,3.57E+12,212387613,1.71,0.054,0.608,0.925,6.928,35.502,0.0436342,2.55721,41.6,44.8
THA,6.15E+11,62693322,2.273,0.003,0.799,1.387,6.4,32.028,0.332768,0.82354,45.8,50.6
MYS,4.65E+11,27669488,1.426,0.03,0.503,0.669,5.745,39,0.0399124,1.48253,43.3,45.4
PHL,8.10E+11,77932247,1.097,0,0.29,0.474,2.294,32.319,0.139502,1.37957,37.7,39.4
VNM,4.35E+11,80285563,2.324,0.012,0.776,1.838,8.187,33.53,0.622251,1.08785,46.3,49.2
RSEA,1.23E+12,65210575,1.838,0.07,0.678,1.246,10.192,32.351,0.812562,0.831137,51.5,61.7
CAN,1.38E+13,30701903,1.502,1.114,0.835,0.571,1.757,27.94,0.0592562,0.585098,51.4,55.8
USA,1.04E+13,282895741,2.648,1.089,1.166,0.926,2.692,32.09,0.211769,0.811657,61.9,68.1
BRA,8.82E+12,175786441,1.218,0.004,0.425,0.768,4.009,29.181,0.0523944,0.931256,40,44.4
MEX,2.32E+12,102808590,3.964,0.141,1.162,0.738,4.65,36.351,0.391263,0.752897,55.8,61.2
RCAM,1.55E+12,73894936,1.422,0.011,0.442,0.268,2.534,31.534,1.7173,2.31833,43.4,47.4
CHL,1.01E+12,15170387,2.753,0.543,0.914,1.518,5.095,26.767,0.0251436,1.61476,39.9,44.2
ARG,3.14E+12,40378695,0.659,0.004,0.213,0.72,2.548,22.569,0.0337105,1.12905,34,37.5
RSAM,5.94E+12,118457253,1.019,0.035,0.361,0.273,3.139,25.888,0.672114,0.878682,37,41.9
Ship,5.11E+14,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Air,5.11E+14,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ocean,1,1,0.488,0.007,0.121,0.028,0.179,26.979,,,,
